Volkswagen Group,25.9,25.0,"249,873","248,647",+0.5,26.4,25.0,"516,709","503,487",+2.6
Volkswagen,10.8,9.7,"103,681","96,562",+7.4,11.1,9.6,"216,565","193,379",+12.0
Skoda,5.7,5.9,"55,324","58,854",-6.0,5.8,6.0,"114,314","120,441",-5.1
Audi,4.8,4.6,"46,593","45,927",+1.5,4.9,4.9,"95,822","99,291",-3.5
Cupra,2.1,1.6,"20,397","15,418",+32.3,2.1,1.4,"40,869","28,728",+42.3
Seat,1.8,2.2,"16,998","21,884",-22.3,1.7,2.1,"33,575","41,946",-20.0
Porsche,0.7,1.0,"6,267","9,486",-33.9,0.7,0.9,"14,218","18,524",-23.2
Others,0.1,0.1,613,516,+18.8,0.1,0.1,"1,346","1,178",+14.3
Stellantis,16.2,18.7,"155,970","186,151",-16.2,15.8,18.4,"310,091","369,469",-16.1
Peugeot,5.8,5.8,"56,016","58,094",-3.6,5.7,5.7,"111,443","115,484",-3.5
Citroen,3.2,3.7,"31,035","36,661",-15.3,3.0,3.4,"58,227","69,319",-16.0
Opel/Vauxhall,2.6,3.4,"25,173","34,250",-26.5,2.7,3.7,"53,620","73,605",-27.2
Fiat,2.4,3.4,"22,980","34,116",-32.6,2.4,3.2,"46,589","63,766",-26.9
Jeep,1.2,1.1,"11,384","11,271",+1.0,1.1,1.2,"22,405","23,424",-4.4
Alfa Romeo,0.5,0.4,"4,994","3,605",+38.5,0.5,0.4,"9,788","7,555",+29.6
DS,0.3,0.4,"2,868","3,539",-19.0,0.3,0.4,"5,060","7,256",-30.3
Lancia/Chrysler,0.1,0.4,"1,155","4,172",-72.3,0.1,0.4,"2,208","8,098",-72.7
Others,0.0,0.0,365,443,-17.6,0.0,0.0,751,962,-21.9
Renault Group,11.1,9.7,"107,134","96,653",+10.8,10.5,9.4,"205,005","189,550",+8.2
Renault,6.1,5.0,"58,830","49,521",+18.8,5.5,4.5,"107,258","90,541",+18.5
Dacia,4.9,4.7,"47,558","46,832",+1.6,4.9,4.9,"96,532","98,498",-2.0
Alpine,0.1,0.0,746,300,+148.7,0.1,0.0,"1,215",511,+137.8
Hyundai Group,7.6,8.0,"73,294","79,172",-7.4,8.0,8.2,"156,526","165,691",-5.5
Hyundai,3.9,4.0,"37,210","40,093",-7.2,4.0,4.1,"78,680","81,875",-3.9
Kia,3.7,3.9,"36,084","39,079",-7.7,4.0,4.2,"77,846","83,816",-7.1
Toyota Group,7.4,7.6,"71,105","75,438",-5.7,7.7,7.9,"151,589","159,371",-4.9
Toyota,6.8,7.1,"65,330","70,595",-7.5,7.1,7.4,"138,307","149,325",-7.4
Lexus,0.6,0.5,"5,775","4,843",+19.2,0.7,0.5,"13,282","10,046",+32.2
BMW Group,7.2,6.6,"69,519","65,812",+5.6,7.1,6.9,"139,828","138,118",+1.2
BMW,5.8,5.5,"55,500","54,999",+0.9,5.9,5.8,"115,359","115,830",-0.4
Mini,1.5,1.1,"14,019","10,813",+29.6,1.2,1.1,"24,469","22,288",+9.8
Mercedes-Benz,4.8,4.9,"46,439","48,911",-5.1,4.6,4.6,"90,154","92,703",-2.7
Mercedes,4.7,4.7,"45,580","46,818",-2.6,4.5,4.4,"88,111","88,120",-0.0
Smart,0.1,0.2,859,"2,093",-59.0,0.1,0.2,"2,043","4,583",-55.4
Ford,3.2,3.3,"30,910","32,810",-5.8,3.2,3.4,"62,461","68,702",-9.1
Volvo Cars,2.4,2.8,"23,525","27,681",-15.0,2.4,2.7,"47,205","53,613",-12.0
Nissan,2.4,2.4,"23,044","24,055",-4.2,2.5,2.6,"48,051","51,292",-6.3
SAIC Motor,2.1,1.6,"19,927","15,804",+26.1,2.0,1.6,"39,538","32,611",+21.2
Tesla,1.8,2.8,"16,888","28,182",-40.1,1.4,2.3,"26,619","46,343",-42.6
Suzuki,1.6,1.9,"15,347","18,584",-17.4,1.5,1.7,"30,155","34,396",-12.3
Mazda,1.2,1.2,"11,513","12,311",-6.5,1.2,1.2,"22,595","24,917",-9.3
Jaguar Land Rover Group,0.8,0.8,"7,637","8,020",-4.8,1.0,1.0,"18,880","20,285",-6.9
Land Rover,0.7,0.7,"7,139","6,708",+6.4,0.9,0.9,"17,402","17,114",+1.7
Jaguar,0.1,0.1,498,"1,312",-62.0,0.1,0.2,"1,478","3,171",-53.4
Honda,0.6,0.5,"5,335","5,413",-1.4,0.5,0.6,"10,329","11,377",-9.2
Mitsubishi,0.4,0.6,"3,490","5,837",-40.2,0.4,0.5,"6,940","10,748",-35.4
